id,category,role,speed_40c,speed_40c_nodpa,speed_40c_norefine,n_speed_40c,n_speed_40c_nodpa,n_speed_40c_norefine
renoir,erased_check,erased at N=40 (sanity),0.33175,0.28731,0.24369,4,4,4
pissarro,canary,CANARY — the leaker (retain member),0.25324,0.16707,0.14107,4,4,4
gauguin,canary,canary — post-impressionist,0.12841,0.10865,0.10152,4,4,4
seurat,canary,canary — pointillist,0.13104,0.18737,0.14416,4,4,4
impressionist,supertype,supertype capability,0.03551,0.05103,0.05093,4,4,4
rembrandt,control_far,control — style-far,0.11332,0.18674,0.08421,4,4,4
hokusai,control_far,control — style-far,0.08078,0.06184,0.05422,4,4,4
